brand,menu,category,calories,protein,fat,carbs,sodium,allergens,source_url,source_date,verified,allergen_known,image_url,description,media_source_url,media_checked_at,allergy_source_url,price,price_note,price_source_url,price_checked_at
이디야,(EX)자몽 포멜로 에이드,음료,309.0,1.0,0.0,69.0,20.0,대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,생초콜릿,음료,91.0,1.0,5.0,7.0,3.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) 콜드브루,음료,10.0,0.0,0.0,0.0,4.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(L) ICED 얼그레이,음료,8.0,1.0,0.0,0.0,0.0,복숭아,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,든든 베리 망고,음료,337.0,7.0,2.0,57.0,72.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) 딸기 요거트 플랫치노,음료,842.0,7.0,5.0,116.0,119.0,우유,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) 꿀복숭아 요거트 플랫치노,음료,889.0,7.0,5.0,120.0,130.0,우유|복숭아,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) 딸기 요거트 플랫치노,음료,534.0,5.0,4.0,69.0,87.0,우유,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,꿀인절미 아이스크림,음료,293.0,4.0,6.0,22.0,104.0,계란|우유|대두|밀,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) 딸기바나나주스,음료,501.0,11.0,7.0,82.0,164.0,우유,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) ICED 자몽차,음료,321.0,1.0,0.0,67.0,7.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(EX) 복숭아 아이스티,음료,329.0,0.0,0.0,78.0,24.0,복숭아,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) HOT 민트 초콜릿,음료,457.0,12.0,18.0,46.0,236.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,초코쉘,음료,149.0,1.0,9.0,9.0,13.0,대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) HOT 배모과차,음료,263.0,0.0,0.0,59.0,22.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(L) ICED 자몽차,음료,228.0,0.0,0.0,47.0,5.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(L) 꿀복숭아 에이드,음료,185.0,0.0,0.0,39.0,17.0,복숭아,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,허니 치즈 그래놀라,음료,339.0,8.0,4.0,46.0,120.0,계란|우유|돼지고기,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) 꿀복숭아 요거트 플랫치노,음료,596.0,6.0,4.0,79.0,96.0,우유|복숭아,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) 플레인 요거트 플랫치노,음료,443.0,5.0,4.0,46.0,82.0,우유,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,팥,음료,85.0,2.0,0.0,13.0,20.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,아몬드시리얼,음료,34.0,1.0,0.0,1.0,23.0,대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) ICED 민트 초콜릿,음료,395.0,9.0,16.0,41.0,188.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,초콜릿칩,음료,107.0,1.0,5.0,12.0,0.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) ICED 제로슈가 아이스티 복숭아,음료,52.0,1.0,0.0,0.0,1.0,복숭아,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) ICED 미숫가루 라떼,음료,322.0,11.0,6.0,17.0,212.0,우유|대두|밀,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,달고나 분태,음료,44.0,0.0,0.0,9.0,20.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(EX) 밀크 쉐이크,음료,566.0,9.0,28.0,50.0,617.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) HOT 미숫가루 라떼,음료,372.0,13.0,8.0,21.0,251.0,우유|대두|밀,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) 밀크 쉐이크,음료,390.0,6.0,19.0,34.0,421.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) 꿀복숭아 플랫치노,음료,307.0,0.0,0.0,65.0,28.0,복숭아,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,유산균 마시멜로우,음료,16.0,0.0,0.0,3.0,1.0,우유|대두|돼지고기,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
